country3,country2,country,region,subregion,place_name,station_name,type,stn_key,status,icao,national_id,wmo,wban,ghcn,special,lat,lon,elev,tz
AFG,AF,Afghanistan,BDS,-,Zebak|Istich,Zebak,,0-20000-0-40920,-,OAZB,,40920,,,,36.5,71.25,4412.0,Asia/Kabul
AFG,AF,Afghanistan,BGL,-,Khelegay|?kh?ndz?dah Kh?l,Camp Khelegay,,,-,KQKG,,,,,,35.875,68.785,739.0,Asia/Kabul
AFG,AF,Afghanistan,BGL,-,Puzayi-Ishan|Baghlan-Farm|P?zah-ye Aysh?n,Puzayi-Ishan,,0-20000-0-40914,-,OABG,,40914,,,,36.1,68.65,554.0,Asia/Kabul
AFG,AF,Afghanistan,BGL,-,Salangi-Shamali|North-Salang Tunnel|S?lang-e Sham?l?,Salangi-Shamali,,0-20000-0-40930,-,,,40930,,AF000040930,,35.31666667,69.01666667,3366.0,Asia/Kabul
AFG,AF,Afghanistan,BGL,-,Sangar Kheyl|Pol-E-Khomri|Sangar Kh?l,Sangar Kheyl,,AFaaEQBQ,-,EQBQ,,,,,,35.95,68.68,630.0,Asia/Kabul
AFG,AF,Afghanistan,FRA,-,Delaram|Dilaram|Dil?r?m,Delaram,,XXXXXXXX,-,OARM,,,,,,32.124,63.433,835.0,Asia/Kabul
AFG,AF,Afghanistan,FRA,-,Farah|Kalayi-Gulyamsheykhi,Farah,,0-20000-0-40974,-,OAFR,,40974,,,,32.36666667,62.18333333,674.2,Asia/Kabul
AFG,AF,Afghanistan,FRA,-,Farah|Kalayi-Gulyamsheykhi,Farah AP,,AFaaKQAR,-,KQAR,,,,,,32.366,62.158,672.0,Asia/Kabul
AFG,AF,Afghanistan,FRA,-,Kalayi-Mirza-Aslam|Shindand|Qal�ah-ye M?rz? Aslam,Kalayi-Mirza-Aslam,,0-20000-0-40957,-,OASD,,40957,,,,33.4,62.28333333,1152.2,Asia/Kabul
AFG,AF,Afghanistan,FRA,-,Qal�ah-ye G?m|Gulistan|Qal�ah-ye Kuhnah,Qal�ah-ye G?m,,AFaaOAGL,-,OAGL,,40975,,,,32.6166667,63.6666667,1424.0,Asia/Kabul
AFG,AF,Afghanistan,FRA,-,Sol??n-e Bakv?,Sol??n-e Bakv?,,AFs40973,-,,,40973,,,,32.233,62.967,722.0,Asia/Kabul
AFG,AF,Afghanistan,FYB,-,Andkhoi|Y?mch?,Andkhoi,,0-20000-0-40906,-,OAAK,,40906,,,,36.93333333,65.11666667,315.0,Asia/Kabul
AFG,AF,Afghanistan,FYB,-,Maimana|Maimama|Khw?jah Payt?gh,Mimana,,0-20000-0-40922,-,OAMN,,40922,,,,35.93333333,64.76666667,838.8,Asia/Kabul
AFG,AF,Afghanistan,FYB,-,Qaisar|Mu?ammad Khw?jah,Qaisar,,0-20000-0-40925,-,OAQR,,40925,,,,35.66666667,64.26666667,1211.0,Asia/Kabul
AFG,AF,Afghanistan,FYB,-,Qozi Bai Qala|Dawlat Abad|Dawlatabad,Qozi Bai Qala,,XXXXXXXX,-,OADD,,,,,,36.421,64.896,415.0,Asia/Kabul
AFG,AF,Afghanistan,FYB,-,T?k�lay Kh?nah|Maimaneh|Khw?jah Payt?gh,T?k�lay Kh?nah,,AFaaKQMH,-,KQMH,,,,,,35.926,64.765,831.0,Asia/Kabul
AFG,AF,Afghanistan,GHA,-,Dzhanubi-Chambaran|Mukur|Jun?b? Chambar?n,Dzhanubi-Chambaran AP,,AFaaOAMK,-,OAMK,,,,,,32.8797222,67.8486111,2053.0,Asia/Kabul
AFG,AF,Afghanistan,GHA,-,Ghazni|Ghayb Qalandar,Ghazni,,AFaaKQRY,-,KQRY,,,,,,33.5,68.4,2175.0,Asia/Kabul
AFG,AF,Afghanistan,GHA,-,Gorg Koshteh|Okak|?kak,Gorg Koshteh,,AFs40966,-,,,40966,,,,33.883,67.95,3115.0,Asia/Kabul
AFG,AF,Afghanistan,GHA,-,Kala-Navi-Khodzharoshnay|Ghazni|Kala-Navi-Sarm-Reg,Kala-Navi-Khodzharoshnay,,0-20000-0-40968,-,OAGN,,40968,,,,33.53333333,68.41666667,2175.0,Asia/Kabul
AFG,AF,Afghanistan,GHA,-,Kala-Navi-Khodzharoshnay|Kala-Navi-Sarm-Reg,Kala-Navi-Khodzharoshnay,,,-,,,40960,,,,33.533,68.417,2183,Asia/Kabul
AFG,AF,Afghanistan,GHA,-,Kamaruddin-Kala|Mokur|Qamarudd?n K�lay,Kamaruddin-Kala,,0-20000-0-40980,-,,,40980,,,,32.83333333,67.78333333,2003.0,Asia/Kabul
AFG,AF,Afghanistan,GHO,Pas?band,Chagcharan|Chakhcharan,Chagcharan|Chakhcharan,,sCHAKHCH,-,OACC,,40942,,,,33.53333333,65.26666667,2278.4,Asia/Kabul
AFG,AF,Afghanistan,GHO,-,Ghelmeen|Khalay,Ghelmeen,,AFaaOAGM,-,OAGM,,40941,,,,34.8833333,65.3,1997.0,Asia/Kabul
AFG,AF,Afghanistan,GHO,-,Korab|Shahrak,Korab,,AFs40943,-,,,40943,,,,34.1,64.3,2405.0,Asia/Kabul
AFG,AF,Afghanistan,GHO,-,Kotayi-Gili|Lal|K?tah-ye Gil?,Kotayi-Gili,,AFaaOALL,-,OALL,,40944,,,,34.5058333,66.2997222,2835.0,Asia/Kabul
AFG,AF,Afghanistan,GHO,-,Miskarkha|Teh Wareh|Tewara|Miskarh?,Miskarkha AP,,AFaaOATW,-,OATW,,,,,,33.54,64.425,2206.0,Asia/Kabul
AFG,AF,Afghanistan,GHO,-,Yakawlang|Yakolang|Noyroba,Yakawlang AP,,AFaaOAYL,-,OAYL,,,,,,34.51330185,66.30310059,2805.0,Asia/Kabul
AFG,AF,Afghanistan,HEL,-,Anjarak|Kajaki|Cha?d?r,Anjarak,,AFaaOAKJ,-,OAKJ,,40976,,,,32.1666667,65.1,1390.0,Asia/Kabul
AFG,AF,Afghanistan,HEL,-,Deshu|Deshoo|�Al?qahd?r? D?sh?,Deshu,,0-20000-0-40996,-,OAOO,,40996,,,,30.43333333,63.3,588.0,Asia/Kabul
AFG,AF,Afghanistan,HEL,-,Karez|Bost|K?r?z,Karez AP,,AFaaOABT,-,OABT,,,,,,31.56,64.365,774.2,Asia/Kabul
AFG,AF,Afghanistan,HEL,-,Karez|Bust|K?r?z,Karez,,0-20000-0-40988,-,,,40988,,,,31.55,64.36666667,775.0,Asia/Kabul
AFG,AF,Afghanistan,HEL,-,Kh?r? K?h|Darwisan|Kh?r? K?h,Fort Dwyer,,AFaaKQXT,-,KQXT,,,,,,31.102,64.067,725.0,Asia/Kabul
AFG,AF,Afghanistan,HEL,-,Kh?r? K?h|Dwyer Airfield,Khara Koh,,XXXXXXXX,-,OADY,,,,,,31.091944,64.066944,737.0,Asia/Kabul
AFG,AF,Afghanistan,HEL,-,Lashkargah|�Aynak,Lashkargah,,AFs40978,-,,,40978,,,,31.5,64.333,762.0,Asia/Kabul
AFG,AF,Afghanistan,HER,-,Islam-Qala|L?kah Sang,Islam-Qala,,0-20000-0-40935,-,OAEQ,,40935,,,,34.65,61.58333333,986.0,Asia/Kabul
AFG,AF,Afghanistan,HER,-,Obe|Obeh|Murghchah-ye B?l?,Obe,,0-20000-0-40940,-,OAOB,,40940,,,,34.36666667,63.15,1298.0,Asia/Kabul
AFG,AF,Afghanistan,HER,-,Rabati-Sakhibzada|Herat|Guz?arah,Rabati-Sakhibzada,,0-20000-0-40938,-,OAHR,,40938,,AFM00040938,,34.21666667,62.21666667,1002.8,Asia/Kabul
AFG,AF,Afghanistan,HER,-,Towraghondt|Toorghodi|Toorghondi|T?ragh?n??,Towraghondt / HEL,,AFaaOATD,-,OATD,,,,,,35.2222222,62.2908333,690.0,Asia/Kabul
AFG,AF,Afghanistan,JOW,-,Bakawul Khur?s?n|Shebirghan|Sheberghan|Bakowl Khur?s?n,Bakawul Khur?s?n,,0-20000-0-40908,-,OASG,,40908,,,,36.66666667,65.71666667,359.0,Asia/Kabul
AFG,AF,Afghanistan,JOW,-,Kumpete|Qar-Qin|Qarqin|Qarq?n,Kumpete,,0-20000-0-40909,-,OAQQ,,40909,,,,37.41666667,66.08333333,265.0,Asia/Kabul
AFG,AF,Afghanistan,KAB,-,Bagi-Talay|Paghman|B?gh-e Tapah,Bagi-Talay,,AFaaOAPG,-,OAPG,,40947,,,,34.5833333,68.9833333,2183.0,Asia/Kabul
AFG,AF,Afghanistan,KAB,-,Kalayi-Vazir|Kabul International|Kalayi-Mir-Abbas,Kalayi-Vazir,,0-20000-0-40948,-,OAKB,,40948,33601,AFM00040948,,34.55,69.21666667,1791.3,Asia/Kabul
AFG,AF,Afghanistan,KAB,-,Karizimir|K?r?z-e M?r,Karizimir,,0-20000-0-40949,-,,,40949,,,,34.63333333,69.05,1924.0,Asia/Kabul
AFG,AF,Afghanistan,KAB,-,Qal�ah-ye ?usa?n Gul|Kabul|Qal�ah-ye Wak?l,Serka Site,,XXXXXXXX,-,OASK,,,,,,34.5658,69.2125,1791.0,Asia/Kabul
AFG,AF,Afghanistan,KAB,-,Qal�ah-ye Mu?amma? Shaf?�|Kabul|Nakh?s,Kabul Playfield,,AFaaKQSF,-,KQSF,,,,,,34.516,69.166,1800.0,Asia/Kabul
AFG,AF,Afghanistan,KAB,-,Shirinkalay|Sarobi|Sh?r?n K�lay,Shirinkalay,,0-20000-0-40951,-,OASB,,40951,,,,34.58333333,69.75,1057.0,Asia/Kabul
AFG,AF,Afghanistan,KAN,-,Kandahar|Shahr-e Now,Kandahar,,,-,KQHN,,69314,,,,31.62,65.7,0,Asia/Kabul
AFG,AF,Afghanistan,KAN,-,Khushab|Kandahar|Kh?sh ?b,Khushab / Intl AP,,0-20000-0-40990,-,OAKN,,40990,,AFM00040990,,31.5,65.85,1017.4,Asia/Kabul
AFG,AF,Afghanistan,KAP,-,Panjshir|Qaryah-ye Shast,Panjshir,,AFaaKQD2,-,KQD2,,,,,,35.27,69.47,1911.0,Asia/Kabul
AFG,AF,Afghanistan,KAP,-,Tagao|Kutschbach FOB|Tag?b,Tagao,,AFaaKQDP,-,KQDP,,,,,,34.85,69.62,1373.0,Asia/Kabul
AFG,AF,Afghanistan,KDZ,-,Konduz|Kunduz|Nasiri,Konduz,,0-20000-0-40913,-,OAUZ,,40913,,,,36.66666667,68.91666667,444.1,Asia/Kabul
AFG,AF,Afghanistan,KDZ,-,Nasiri,Nasiri,,,-,EQBA,,99876,,,,36.667,68.917,433,Asia/Kabul
AFG,AF,Afghanistan,KNR,-,Asmar|Srah Darah,Asmar,,AFaaOAAS,-,OAAS,,40934,,,,35.0166667,71.4333333,1784.0,Asia/Kabul
AFG,AF,Afghanistan,KNR,-,Blessing Camp|Kats?,Blessing Camp,,AFaaKQW3,-,KQW3,,,,,,34.97,70.9,1020.0,Asia/Kabul
AFG,AF,Afghanistan,KNR,-,N?ngal|Naray|Shakarid Kh?n?,Nangal,,AFaaKQVE,-,KQVE,,,,,,35.2,71.5,1092.0,Asia/Kabul
AFG,AF,Afghanistan,LAG,-,Laghman|Tirgali,Laghman,,0-20000-0-40952,-,OALN,,40952,,,,34.65,70.21666667,728.0,Asia/Kabul
AFG,AF,Afghanistan,LOW,-,Logar|H?r?n Kh?l Muhajir?n,Logar,,0-20000-0-40950,-,OALG,,40950,,,,34.1,69.05,1886.0,Asia/Kabul
AFG,AF,Afghanistan,LOW,-,Pol-E-Alam|Darvesh,Pol-E-Alam,,AFaaEQBP,-,EQBP,,,,,,33.95,69.05,1991.0,Asia/Kabul
AFG,AF,Afghanistan,NAN,-,Ghaziabad|Gaziabad,Ghaziabad,,0-20000-0-40953,-,OAGA,,40953,,,,34.31666667,70.76666667,487.0,Asia/Kabul
AFG,AF,Afghanistan,NAN,-,Jalalabad|Kh?sh Gunbad,Jalalabad,,AFaaKQL5,-,KQL5,,,,,,34.4,70.5008,559.0,Asia/Kabul
AFG,AF,Afghanistan,NAN,-,Jalalabad|Narmasi,Jalalabad / MIL,,0-20000-0-40954,-,OAJL,,40954,,,,34.43333333,70.46666667,561.1,Asia/Kabul
AFG,AF,Afghanistan,NIM,-,Band-e Kamal Khan|Bandkamalkhan,Band-e Kamal Khan,,XXXXXXXX,-,OABK,,,,,,30.327,61.888,523.0,Asia/Kabul
AFG,AF,Afghanistan,NIM,-,Char-Burjack|Chah?r Burjak,Char-Burjack,,AFs40995,-,,,40995,,,,30.283,62.033,519.0,Asia/Kabul
AFG,AF,Afghanistan,NIM,-,Zaranj|Deh-e �Alam Bard?r,Zaranj AP,,AFaaOAZJ,-,OAZJ,,,,,,30.972222,61.865833,504.0,Asia/Kabul
AFG,AF,Afghanistan,NIM,-,Zaranj|J?n Mu?ammad,Zaranj,,0-20000-0-40986,-,OAZG,,40986,,,,31,61.85,494.0,Asia/Kabul
AFG,AF,Afghanistan,NIM,-,Z??rat-e Am?r?n ???eb,Nimroz,,AFXXOANZ,-,OANZ,,,,,,30.963333,62.060556,481.9,Asia/Kabul
AFG,AF,Afghanistan,ORU,-,Chakhcharan|K?ns? Sufl�,Chakhcharan,,AFaaOACC,-,EQBI,,,,,,34.5264,65.2708,2252.0,Asia/Kabul
AFG,AF,Afghanistan,ORU,-,Tarin Kowt|Tereen|Tarin Kowt|Ch?nah,Tarin Kowt,,AFaaOATN,-,OATN,,,,,,32.605,65.863889,1364.6,Asia/Kabul
AFG,AF,Afghanistan,ORU,-,Tirin Kot|Ch?nah,Tirin Kot,,0-20000-0-40977,-,,,40977,,,,32.61666667,65.86666667,1334.0,Asia/Kabul
AFG,AF,Afghanistan,PAR,-,Bagram|?asan Kh?l,Bagram,,AFaaKQSA,-,KQSA,,69728,,,,34.95,69.27,1492.0,Asia/Kabul
AFG,AF,Afghanistan,PAR,-,Jabul-Saraj|�Ishq?b?d,Jabul-Saraj,,0-20000-0-40932,-,OAJS,,40932,,,,35.13333333,69.25,1695.0,Asia/Kabul
AFG,AF,Afghanistan,PAR,-,P?�?n J?n Qadam,Pa'in Jan Qadam,,AFaaOAIX,-,OAIX,,,,,,34.945803,69.265919,1483.8,Asia/Kabul
AFG,AF,Afghanistan,PAR,-,South-Salang|Gow?rah Sang,South-Salang,,0-20000-0-40931,-,,,40931,,,,35.3,69.06666667,2992.0,Asia/Kabul
AFG,AF,Afghanistan,PIA,-,Gardez|Khw?jah ?asan-e �Uly?,Gardez,,0-20000-0-40970,-,OAGZ,,40970,,,,33.61666667,69.23333333,2337.0,Asia/Kabul
AFG,AF,Afghanistan,PIA,-,Gardez|?amad Kh?l,Gardez,,AFaaKQOX,-,KQOX,,,,,,33.66,69.2,2359.0,Asia/Kabul
AFG,AF,Afghanistan,PIA,-,Herrera HLZ|Mandz K?tkay,Herrera HLZ,,AFaaKQBR,-,KQBR,,,,,,33.92,69.7,2162.0,Asia/Kabul
AFG,AF,Afghanistan,PIA,-,Khost|Ch?ghay,Chapman,,0-20000-0-40971,-,OAKS,,40971,,,,33.35,69.95,1151.0,Asia/Kabul
AFG,AF,Afghanistan,PKA,-,Orgun E|Bun??,Orgun E,,AFaaKQDM,-,KQDM,,,,,,32.93,69.15,2275.0,Asia/Kabul
AFG,AF,Afghanistan,PKA,-,Sarhawdza,Sarhawdza,,XXXXXXXX,-,OASW,,,,,,33.156111,68.819444,2154.0,Asia/Kabul
AFG,AF,Afghanistan,PKA,-,Sharana|T?rmukh,Sharana,,AFaaKQSR,-,KQSR,,,,,,33.12,68.82,2260.0,Asia/Kabul
AFG,AF,Afghanistan,PKA,-,Sharona Airstrip|T?rmukh,Sharona Airstrip,,AFaaOASA,-,OASA,,,,,,33.125833,68.838611,2266.2,Asia/Kabul
AFG,AF,Afghanistan,PKA,-,Urgoon|Malaky?r K�lay,Urgoon,,0-20000-0-40984,-,OAOG,,40984,,,,32.91666667,69.13333333,2331.0,Asia/Kabul
AFG,AF,Afghanistan,PKA,-,Wazakhwa|Wazakhaw|W??il Kh?l,Wazakhwa,,AFaaOADW,-,OADW,,40981,,,,32.2,68.35,2269.0,Asia/Kabul
AFG,AF,Afghanistan,SAM,-,Aiback|Largh?n,Aiback,,AFs40912,-,,,40912,,,,36.3,68,943.0,Asia/Kabul
AFG,AF,Afghanistan,SAM,-,Dara-I-Suf|Darra-i-soof,Dara-I-Suf,,XXXXXXXX,-,OADF,,,,,,35.75,67.66,2890.0,Asia/Kabul
AFG,AF,Afghanistan,SAM,-,Hairatan|?a?rat?n,Hairatan,,0-20000-0-40916,-,,,40916,,,,37.21666667,67.41666667,303.0,Asia/Kabul
AFG,AF,Afghanistan,SAM,-,Kaldar|B?z?rak,Kaldar,,AFaaOAKR,-,OAKR,,40924,,,,37.2,67.7333333,298.0,Asia/Kabul
AFG,AF,Afghanistan,TAK,-,Khojaghar|Kh?sh Gild?,Khojaghar AP,,AFaaOAKG,-,OAKG,,,,,,37.0802778,69.3669444,624.0,Asia/Kabul
AFG,AF,Afghanistan,TAK,-,Rustag|Sar Rust?q,Rustag AP,,AFaaOART,-,OART,,,,,,37.09999847,69.90000153,1610.0,Asia/Kabul
AFG,AF,Afghanistan,TAK,-,Taloqan|Sh?h Mard?n B?g,Taloqan,,AFs40915,-,,,40915,,,,36.733,69.5,780.0,Asia/Kabul
AFG,AF,Afghanistan,TAK,-,Taluqan|Talolqan|B?ghak,Taluqan AP,,AFaaOATQ,-,OATQ,,,,,,36.7705556,69.5305556,833.0,Asia/Kabul
AFG,AF,Afghanistan,TAK,-,Yangi Qala|Yangiqala|Mull? B?g Mu?ammad,Yangi Qala,,AFaaOAYQ,-,OAYQ,,40928,,,,37.4666667,69.6666667,595.0,Asia/Kabul
AFG,AF,Afghanistan,WAR,-,Behsood|Sar-e Sar?b,Behsood,,AFaaOABD,-,OABD,,40967,,,,34.3,67.85,3166.0,Asia/Kabul
AFG,AF,Afghanistan,WAR,-,Hajigak|Q?l-e D?d?,Hajigak,,AFaaOAHJ,-,OAHJ,,40933,,,,34.5833333,68.1,3863.0,Asia/Kabul
AFG,AF,Afghanistan,WAR,-,S?r Pul,S?r Pul,,AFaaKQQS,-,KQQS,,,,,,34.32,68.85,2240.0,Asia/Kabul
AFG,AF,Afghanistan,ZAB,-,Kalat|Qal?t,Kalat,,AFaaOAKT,-,OAKT,,40979,,,,32.1166667,66.9,1625.0,Asia/Kabul
AFG,AF,Afghanistan,ZAB,-,Mollayan,Mollayan,,XXXXXXXX,-,OAMY,,,,,,31.968056,67.043889,1871.0,Asia/Kabul
AFG,AF,Afghanistan,ZAB,-,Qalat|Fate? Shaylah,Qalat,,AFaaOAQA,-,KQLT,,,,,,32.126,66.876,1641.0,Asia/Kabul
AFG,AF,Afghanistan,ZAB,-,Qalat|Fate? Shaylah,Qalat,,AFaaOAQA,-,OAQA,,,,,,32.133889,66.898889,1640.8,Asia/Kabul
AFG,AF,Afghanistan,,,Bamar,Bamar,,XXXXXXXX,-,OABR,,,,,,,,,
AFG,AF,Afghanistan,,,Charburjak,Charburjak,,XXXXXXXX,-,OACB,,,,,,,,,
AFG,AF,Afghanistan,,,Devar,Devar,,XXXXXXXX,-,OADV,,,,,,,,,
AFG,AF,Afghanistan,,,Gader,Gader,,XXXXXXXX,-,OAGD,,,,,,,,,
AFG,AF,Afghanistan,,,Gasar,Gasar,,XXXXXXXX,-,OAGS,,,,,,,,,
AFG,AF,Afghanistan,,,Hazrat Eman,Hazrat Eman,,XXXXXXXX,-,OAHE,,,,,,,,,
AFG,AF,Afghanistan,,,Jawand,Jawand,,XXXXXXXX,-,OAJW,,,,,,,,,
AFG,AF,Afghanistan,,,Kabul,Kabul ACC/FIC,,XXXXXXXX,-,OAKX,,,,,,,,,
AFG,AF,Afghanistan,,,Kamar,Kamar,,XXXXXXXX,-,OAKM,,,,,,,,,
AFG,AF,Afghanistan,,,Kamdesh,Kamdesh,,XXXXXXXX,-,OAKD,,,,,,,,,
AFG,AF,Afghanistan,,,Karez-i-mir,Karez-i-mir,,XXXXXXXX,-,OAKZ,,,,,,,,,
AFG,AF,Afghanistan,,,Khost-o-fering,Khost-o-fering,,XXXXXXXX,-,OAFG,,,,,,,,,
AFG,AF,Afghanistan,,,Koban,Koban,,XXXXXXXX,-,OAKA,,,,,,,,,
AFG,AF,Afghanistan,,,Konjak-i-logar,Konjak-i-logar,,XXXXXXXX,-,OAKL,,,,,,,,,
AFG,AF,Afghanistan,,,Kotal,Kotal,,XXXXXXXX,-,OATK,,,,,,,,,
AFG,AF,Afghanistan,,,Munta,Munta,,XXXXXXXX,-,OAMT,,,,,,,,,
AFG,AF,Afghanistan,,,Nawor,Nawor,,XXXXXXXX,-,OANR,,,,,,,,,
AFG,AF,Afghanistan,,,Qala-i-nyazkhan,Qala-i-nyazkhan,,XXXXXXXX,-,OAQK,,,,,,,,,
AFG,AF,Afghanistan,,,Rimpa,Rimpa,,XXXXXXXX,-,OARP,,,,,,,,,
AFG,AF,Afghanistan,,,Sabar,Sabar,,XXXXXXXX,-,OASR,,,,,,,,,
AFG,AF,Afghanistan,,,Salang-i-junubi,Salang-i-junubi,,XXXXXXXX,-,OASS,,,,,,,,,
AFG,AF,Afghanistan,,,Salang-i-shamali,Salang-i-shamali,,XXXXXXXX,-,OANS,,,,,,,,,
AFG,AF,Afghanistan,,,Samangan,Samangan,,XXXXXXXX,-,OASM,,,,,,,,,
AFG,AF,Afghanistan,,,Sarday,Sarday,,XXXXXXXX,-,OABS,,,,,,,,,
AFG,AF,Afghanistan,,,Sare Pul,Sare Pul,,XXXXXXXX,-,OASP,,,,,,,,,
AFG,AF,Afghanistan,,,Shur Tepa,Shur Tepa,,XXXXXXXX,-,OAST,,,,,,,,,
AFG,AF,Afghanistan,,,Tarin Kowt,Tarin Kowt,,XXXXXXXX,-,OATT,,,,,,,,,
AFG,AF,Afghanistan,,,Tashkurghan,Tashkurghan,,XXXXXXXX,-,OATG,,,,,,,,,
AFG,AF,Afghanistan,,,Tesak,Tesak,,XXXXXXXX,-,OATZ,,,,,,,,,
AFG,AF,Afghanistan,,,Uruzgan,Uruzgan,,XXXXXXXX,-,OARG,,,,,,,,,
AFG,AF,Afghanistan,,,Wazirabad,Wazirabad,,XXXXXXXX,-,OAWZ,,,,,,,,,
AFG,AF,Afghanistan,,,Wurtach,Wurtach,,XXXXXXXX,-,OAWU,,,,,,,,,
AGO,AO,Angola,BGO,-,Ambriz,Ambriz AP,,AOaaFNAM,-,FNAM,,,,,,-7.86221981,13.11610031,24.0,Africa/Luanda
AGO,AO,Angola,BGO,-,Caxito,Caxito MET OBS,,0-24-0-66190,-,,,66190,,,,-8.555611,13.664172,43.0,Africa/Luanda
AGO,AO,Angola,BGO,-,Luanda,Luanda Antonio Agostinho Neto Intl AP,,AOXXFNBJ,-,FNBJ,,,,,,-9.053611,13.496944,167.9,Africa/Luanda
